query,gold,decision,dense_correctness,dense_completeness,dense_safety,dense_abstained,dense_composite,dense_sem_sim,dense_acc70,bm25_correctness,bm25_completeness,bm25_safety,bm25_abstained,bm25_composite,bm25_sem_sim,bm25_acc70,hybrid_correctness,hybrid_completeness,hybrid_safety,hybrid_abstained,hybrid_composite,hybrid_sem_sim,hybrid_acc70,threshold_correctness,threshold_completeness,threshold_safety,threshold_abstained,threshold_composite,threshold_sem_sim,threshold_acc70,aurora_correctness,aurora_completeness,aurora_safety,aurora_abstained,aurora_composite,aurora_sem_sim,aurora_acc70
What is the accuracy rate of the 20-week screening scan in detecting heart defects?,The scan will find about half (5 out of 10) of babies who have heart defects. But some heart defects are harder to see than others. References: - https://www.nhs.uk/conditions/pregnancy-and-baby/20-week-scan/,insufficient,3.0,3.0,3.0,0,3.0,0.92,1,3.0,3.0,0.0,0,2.1,0.3668,0,3.0,3.0,0.0,0,2.1,0.3668,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
Do identification of methicillin-resistant Staphylococcus aureus ( MRSA ) strains isolated from burn patients by multiplex PCR?,This study presented a high MRSA rate in the region under investigation. The 16S rRNA-mecA-nuc multiplex PCR is a good tool for the rapid characterization of MRSA strains. This paper emphasizes the need for preventive measures and choosing effective antimicrobials against MRSA and MRCoNS infections in the burn units.,escalate,3.0,3.0,3.0,0,3.0,0.7615,1,0.0,1.0,0.0,0,0.3,0.6816,0,1.0,3.0,3.0,0,2.2,0.7371,1,1.0,3.0,3.0,0,2.2,0.7371,1,1.0,3.0,3.0,0,2.2,0.7371,1
What should I do if I live with someone who has COVID-19?,"If you live with someone who has COVID-19 or stayed overnight in their household, you should try to avoid contact with them as much as possible. You should also limit contact with people you do not live with, particularly in crowded places, indoors or where there is not much fresh air. You should wear a face covering that fits snugly against your face and has more than 1 layer where you're in close contact with other people, or in crowded places. Lastly, you should wash your hands often with soap or water, or use hand sanitiser. References: - https://www.nhs.uk/conditions/coronavirus-covid-19/self-isolation-and-treatment/if-youre-told-to-self-isolate-by-nhs-test-and-trace-or-the-covid-19-app/",escalate,0.0,3.0,3.0,0,1.8,0.7918,1,3.0,3.0,3.0,0,3.0,0.3366,0,0.0,3.0,3.0,0,1.8,0.856,1,0.0,3.0,3.0,0,1.8,0.856,1,0.0,3.0,3.0,0,1.8,0.8943,1
Why are pregnant women in England offered a blood test for thalassaemia?,"All pregnant women in England are offered a blood test to find out if they carry a gene for thalassaemia because if you're a carrier of the thalassaemia gene, you can pass this health condition on to your baby. References: - https://www.nhs.uk/conditions/pregnancy-and-baby/screening-sickle-cell-thalassaemia-pregnant/",insufficient,5.0,5.0,3.0,0,4.4,0.9657,1,3.0,3.0,3.0,0,3.0,0.3907,0,5.0,5.0,3.0,0,4.4,0.9657,1,5.0,5.0,3.0,0,4.4,0.9657,1,3.0,0.0,5.0,1,2.7,0.0,0
What is (are) Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"Type 2 diabetes, formerly called adult-onset diabetes, is the most common type of diabetes. About 95 percent of people with diabetes have type 2. People can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes develops most often in middle-aged and older people. People who are overweight and inactive are also more likely to develop type 2 diabetes. In type 2 and other types of diabetes, you have too much glucose, also called sugar, in your blood. People with diabetes have problems converting food to energy. After a meal, food is broken down into glucose, which is carried by your blood to cells throughout your body. With the help of the hormone insulin, cells absorb glucose from your blood and use it for energy. Insulin is made in the pancreas, an organ located behind the stomach. Type 2 diabetes usually begins with insulin resistance, a condition linked to excess weight in which your bodys cells do not use insulin properly. As a result, your body needs more insulin to help glucose enter cells. At first, your pancreas keeps up with the added demand by producing more insulin. But in time, your pancreas loses its ability to produce enough insulin, and blood glucose levels rise. Over time, high blood glucose damages nerves and blood vessels, leading to problems such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. Other problems of diabetes may include increased risk of getting other diseases, loss of mobility with aging, depression, and pregnancy problems. Treatment includes taking diabetes medicines, making wise food choices, being physically active on a regular basis, controlling blood pressure and cholesterol, and for some, taking aspirin daily.",insufficient,3.0,3.0,3.0,0,3.0,0.8826,1,1.0,3.0,3.0,0,2.2,0.7662,1,3.0,3.0,3.0,0,3.0,0.573,0,3.0,0.0,5.0,1,2.7,0.0,0,3.0,0.0,5.0,1,2.7,0.0,0
Are mutations in JAGGED1 gene predominantly sporadic in Alagille syndrome?,"Most of the observed mutations other than the missense mutations in JAGGED1 are expected to give rise to truncated and unanchored proteins. All mutations mapped to the extracellular domain of the protein, and there appeared to be regional hot spots, although no clustering was observed. Thus, the sequencing of 7 exons of JAGGED1 would detect 51% of the mutations. Transmission analysis showed a high frequency of sporadic cases (70%).",escalate,0.0,0.0,0.0,0,0.0,0.2098,0,3.0,3.0,3.0,0,3.0,0.1701,0,1.0,1.0,3.0,0,1.6,0.1863,0,1.0,1.0,3.0,0,1.6,0.1863,0,1.0,1.0,3.0,0,1.6,0.1863,0
Do biphasic chromatin structure and FISH signals in reflect intranuclear order?,"A small number of cells (up to about 5%), more frequent in leukemia cases, showed the twin features: (1) nuclei with biphasic chromatin, one part decondensed and the other condensed; and (2) homologous FISH signals distributed equitably in those two regions. The biphasic chromatin structure with equitable distribution of the homologous FISH signals may correspond to the two sets of chromosomes, supporting observations on ploidywise intranuclear order. The decondensed chromatin may relate to enhanced transcriptions or advanced replications.",insufficient,5.0,5.0,3.0,0,4.4,0.9374,1,0.0,0.0,3.0,0,0.9,0.5541,0,5.0,5.0,3.0,0,4.4,0.9374,1,5.0,5.0,3.0,0,4.4,0.9374,1,3.0,0.0,5.0,1,2.7,0.0,0
What is (are) permanent neonatal diabetes mellitus ?,"Permanent neonatal diabetes mellitus is a type of diabetes that first appears within the first 6 months of life and persists throughout the lifespan. This form of diabetes is characterized by high blood sugar levels (hyperglycemia) resulting from a shortage of the hormone insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy. Individuals with permanent neonatal diabetes mellitus experience slow growth before birth (intrauterine growth retardation). Affected infants have hyperglycemia and an excessive loss of fluids (dehydration) and are unable to gain weight and grow at the expected rate (failure to thrive). In some cases, people with permanent neonatal diabetes mellitus also have certain neurological problems, including developmental delay and recurrent seizures (epilepsy). This combination of developmental delay, epilepsy, and neonatal diabetes is called DEND syndrome. Intermediate DEND syndrome is a similar combination but with milder developmental delay and without epilepsy. A small number of individuals with permanent neonatal diabetes mellitus have an underdeveloped pancreas. Because the pancreas produces digestive enzymes as well as secreting insulin and other hormones, affected individuals experience digestive problems such as fatty stools and an inability to absorb fat-soluble vitamins.",escalate,3.0,3.0,3.0,0,3.0,0.1623,0,0.0,2.0,0.0,0,0.6,0.722,1,3.0,4.0,3.0,0,3.3,0.8253,1,3.0,4.0,3.0,0,3.3,0.8253,1,3.0,4.0,3.0,0,3.3,0.8253,1
What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes?,"Spicy Blend 2 tablespoons dried savory, crumbled 1/4 teaspoon freshly ground white pepper 1 tablespoon dry mustard 1/4 teaspoon ground cumin 2 1/2 teaspoons onion powder 1/2 teaspoon garlic powder 1/4 teaspoon curry powder Saltless Surprise 2 teaspoons garlic powder 1 teaspoon basil 1 teaspoon oregano 1 teaspoon powdered lemon rind or dehydrated lemon juice Herb Seasoning 2 tablespoons dried dill weed or basil leaves, crumbled 1 teaspoon celery seed 2 tablespoons onion powder 1/4 teaspoon dried oregano leaves, crumbled A pinch of freshly ground pepper Spicy Seasoning 1 teaspoon cloves 1 teaspoon pepper 2 teaspoons paprika 1 teaspoon coriander seed (crushed) 1 tablespoon rosemary",escalate,3.0,0.0,3.0,0,2.1,0.7243,1,3.0,3.0,3.0,0,3.0,0.4218,0,3.0,3.0,3.0,0,3.0,0.636,0,3.0,3.0,3.0,0,3.0,0.636,0,3.0,3.0,3.0,0,3.0,0.636,0
What causes high cholesterol in children?,"Cholesterol levels in children are mostly linked to three risk factors: Heredity (passed on from parent to child) Diet Obesity In most cases, kids with high cholesterol have a parent who also has elevated cholesterol.",escalate,5.0,5.0,3.0,0,4.4,0.9851,1,0.0,3.0,0.0,0,0.9,0.4435,0,3.0,5.0,3.0,0,3.6,0.9706,1,3.0,5.0,3.0,0,3.6,0.9706,1,5.0,5.0,3.0,0,4.4,0.9792,1
