query,gold,group,ans_dense,ans_bm25,ans_hybrid,ans_threshold,ans_aurora,trust_score,decision,r1_dense,r1_bm25,r1_hybrid,r1_threshold,r1_aurora,r2_dense,r2_bm25,r2_hybrid,r2_threshold,r2_aurora,rL_dense,rL_bm25,rL_hybrid,rL_threshold,rL_aurora,abstained_threshold,abstained_aurora
What is the accuracy rate of the 20-week screening scan in detecting heart defects?,The scan will find about half (5 out of 10) of babies who have heart defects. But some heart defects are harder to see than others. References: - https://www.nhs.uk/conditions/pregnancy-and-baby/20-week-scan/,Diagnostic Tests,"The scan will find about half (5 out of 10) of babies who have heart defects. But some heart defects are harder to see than others. The 20-week screening scan looks in detail at the baby's bones, heart, brain, spinal cord, face, kidneys, and abdomen.","The 20-week screening scan is a detailed ultrasound scan that checks the physical development of your baby. It looks at your baby's bones, heart, brain, spinal cord, face, kidneys and abdomen. While the scan cannot pick up every condition, it allows the sonographer to look for 11 rare conditions.","The 20-week screening scan is a detailed ultrasound scan that checks the physical development of your baby. It looks at your baby's bones, heart, brain, spinal cord, face, kidneys and abdomen. While the scan cannot pick up every condition, it allows the sonographer to look for 11 rare conditions.",Insufficient evidence available to answer reliably.,Insufficient evidence available to answer reliably.,0.0674,insufficient,0.7294117647058823,0.26966292134831465,0.26966292134831465,0.0,0.0,0.6265060240963856,0.045977011494252866,0.045977011494252866,0.0,0.0,0.6823529411764706,0.15730337078651688,0.15730337078651688,0.0,0.0,1,1
Do identification of methicillin-resistant Staphylococcus aureus ( MRSA ) strains isolated from burn patients by multiplex PCR?,This study presented a high MRSA rate in the region under investigation. The 16S rRNA-mecA-nuc multiplex PCR is a good tool for the rapid characterization of MRSA strains. This paper emphasizes the need for preventive measures and choosing effective antimicrobials against MRSA and MRCoNS infections in the burn units.,Clinical Practices and Medical Devices,"The isolation rates of MRSA and MRCoNS were high in our burn wards from January 2008 to December 2010. All of them showed strong drug resistance property, and they were multidrug resistant. The most prevalent strain was PFGE type A. DNA levels are higher in flame/flash patients than in scald patients.",MRSA infections are often acquired in hospital-related sites. Infection control measures need to move beyond the traditional paradigm of acute care hospitals to effectively control the spread of resistant pathogens. On-site MRSA surveillance with targeted decolonization resulted in a significant decrease in clinical MRSA infection among LTCF residents.,"The isolation rates of MRSA and MRCoNS were high in our burn wards from January 2008 to December 2010. The three dominant pathogens that cause infection in burn patients hospitalized in Institute of Burn Research of Southwest Hospital in recent years are PA, SA, and AB. PA and AB are outstandingly multidrug-resistant among the isolated strains.","The isolation rates of MRSA and MRCoNS were high in our burn wards from January 2008 to December 2010. The three dominant pathogens that cause infection in burn patients hospitalized in Institute of Burn Research of Southwest Hospital in recent years are PA, SA, and AB. PA and AB are outstandingly multidrug-resistant among the isolated strains.","The isolation rates of MRSA and MRCoNS were high in our burn wards from January 2008 to December 2010. The three dominant pathogens that cause infection in burn patients hospitalized in Institute of Burn Research of Southwest Hospital in recent years are PA, SA, and AB. PA and AB are outstandingly multidrug-resistant among the isolated strains.",0.566,escalate,0.27184466019417475,0.25742574257425743,0.27777777777777773,0.27777777777777773,0.27777777777777773,0.0594059405940594,0.0,0.07547169811320756,0.07547169811320756,0.07547169811320756,0.13592233009708737,0.1584158415841584,0.14814814814814814,0.14814814814814814,0.14814814814814814,0,0
What should I do if I live with someone who has COVID-19?,"If you live with someone who has COVID-19 or stayed overnight in their household, you should try to avoid contact with them as much as possible. You should also limit contact with people you do not live with, particularly in crowded places, indoors or where there is not much fresh air. You should wear a face covering that fits snugly against your face and has more than 1 layer where you're in close contact with other people, or in crowded places. Lastly, you should wash your hands often with soap or water, or use hand sanitiser. References: - https://www.nhs.uk/conditions/coronavirus-covid-19/self-isolation-and-treatment/if-youre-told-to-self-isolate-by-nhs-test-and-trace-or-the-covid-19-app/",Awareness and Support,"If you have symptoms of COVID-19, try to stay at home and avoid contact with other people. If you have a high temperature or you feel unwell, you should also avoid going to work or doing your normal activities. Take extra care to avoid close contact with anyone who is at higher risk of getting seriously ill.",No. You do not need to do daily rapid lateral flow tests if you've been in close contact with someone with COVID-19. You can try to stay away from other people and spend as little time as possible in spaces you share with other people. You should wear a face covering that fits snugly against your face and has more than 1 layer.,"If you've tested positive for COVID-19 or have symptoms, you should avoid contact with others in your home as much as possible. Try to stay away from other people you live with, and spend as little time as possible in spaces you share. Keep windows open for at least 10 minutes after you have left the room to let in fresh air, cover your mouth and nose when you cough or sneeze, wash your hands with soap and water and use hand sanitizer.","If you've tested positive for COVID-19 or have symptoms, you should avoid contact with others in your home as much as possible. Try to stay away from other people you live with, and spend as little time as possible in spaces you share. Keep windows open for at least 10 minutes after you have left the room to let in fresh air, cover your mouth and nose when you cough or sneeze, wash your hands with soap and water and use hand sanitizer.","If you think you have COVID-19, you should avoid contact with others you live with as much as possible. You should wear a face covering that fits snugly against your face and has more than 1 layer. Keep windows open for at least 10 minutes after you have left the room to let in fresh air, cover your mouth and nose when you cough or sneeze, wash your hands with soap and water and use hand sanitizer regularly.",0.4084,escalate,0.32432432432432434,0.48958333333333337,0.4528301886792453,0.4528301886792453,0.5339805825242719,0.13114754098360656,0.3157894736842105,0.19047619047619047,0.19047619047619047,0.3333333333333333,0.19459459459459458,0.34374999999999994,0.32075471698113206,0.32075471698113206,0.4077669902912621,0,0
Why are pregnant women in England offered a blood test for thalassaemia?,"All pregnant women in England are offered a blood test to find out if they carry a gene for thalassaemia because if you're a carrier of the thalassaemia gene, you can pass this health condition on to your baby. References: - https://www.nhs.uk/conditions/pregnancy-and-baby/screening-sickle-cell-thalassaemia-pregnant/",Awareness and Support,"All pregnant women in England are offered a blood test to find out if they carry a gene for thalassaemia. If you're a carrier, you can pass this health condition on to your baby. The test should be offered before you're 10 weeks pregnant because it's important it's done early.","All pregnant women in England are offered screening to check if a baby is at risk of being born with sickle cell disease. Sickle cell and thalassaemia are inherited blood disorders, and if you're a carrier, you can pass these health conditions on to your baby. The test should be offered before you're 10 weeks pregnant because it's important it's done early.","All pregnant women in England are offered a blood test to find out if they carry a gene for thalassaemia. If you're a carrier, you can pass this health condition on to your baby. The test should be offered before you're 10 weeks pregnant because it's important it's done early.","All pregnant women in England are offered a blood test to find out if they carry a gene for thalassaemia. If you're a carrier, you can pass this health condition on to your baby. The test should be offered before you're 10 weeks pregnant because it's important it's done early.",Insufficient evidence available to answer reliably.,0.2083,insufficient,0.7037037037037037,0.6,0.7037037037037037,0.7037037037037037,0.0,0.6037735849056604,0.30508474576271183,0.6037735849056604,0.6037735849056604,0.0,0.6666666666666666,0.43333333333333324,0.6666666666666666,0.6666666666666666,0.0,0,1
What is (are) Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"Type 2 diabetes, formerly called adult-onset diabetes, is the most common type of diabetes. About 95 percent of people with diabetes have type 2. People can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes develops most often in middle-aged and older people. People who are overweight and inactive are also more likely to develop type 2 diabetes. In type 2 and other types of diabetes, you have too much glucose, also called sugar, in your blood. People with diabetes have problems converting food to energy. After a meal, food is broken down into glucose, which is carried by your blood to cells throughout your body. With the help of the hormone insulin, cells absorb glucose from your blood and use it for energy. Insulin is made in the pancreas, an organ located behind the stomach. Type 2 diabetes usually begins with insulin resistance, a condition linked to excess weight in which your bodys cells do not use insulin properly. As a result, your body needs more insulin to help glucose enter cells. At first, your pancreas keeps up with the added demand by producing more insulin. But in time, your pancreas loses its ability to produce enough insulin, and blood glucose levels rise. Over time, high blood glucose damages nerves and blood vessels, leading to problems such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. Other problems of diabetes may include increased risk of getting other diseases, loss of mobility with aging, depression, and pregnancy problems. Treatment includes taking diabetes medicines, making wise food choices, being physically active on a regular basis, controlling blood pressure and cholesterol, and for some, taking aspirin daily.",5_NIDDK_QA,"Diabetes means your blood glucose, or blood sugar, levels are too high. With type 2 diabetes, the more common type, your body does not make or use insulin well. Without insulin, too much glucose stays in your blood. High blood glucose can lead to serious problems with your heart, eyes, kidneys, nerves, and gums and teeth.",Nearly 7 million people in the United States have type 2 diabetes and dont know they have the disease. Gestational diabetes is a type of diabetes that develops only during pregnancy. Overweight or obese women are at particularly high risk for gestational diabetes because they start pregnancy with a higher need for insulin.,"Being more physically active, reducing fat and calorie intake, and losing a little weight can help you lower your chances of developing type 2 diabetes. Taking the diabetes medicine metformin can also reduce risk, particularly in younger and heavier people with prediabetes and women who have had gestational diabetes.",Insufficient evidence available to answer reliably.,Insufficient evidence available to answer reliably.,0.1634,insufficient,0.25219941348973607,0.18934911242603553,0.19161676646706588,0.0,0.0,0.08849557522123894,0.041666666666666664,0.03614457831325301,0.0,0.0,0.17008797653958943,0.10650887573964496,0.08383233532934131,0.0,0.0,1,1
Are mutations in JAGGED1 gene predominantly sporadic in Alagille syndrome?,"Most of the observed mutations other than the missense mutations in JAGGED1 are expected to give rise to truncated and unanchored proteins. All mutations mapped to the extracellular domain of the protein, and there appeared to be regional hot spots, although no clustering was observed. Thus, the sequencing of 7 exons of JAGGED1 would detect 51% of the mutations. Transmission analysis showed a high frequency of sporadic cases (70%).",Cellular and Molecular Biology in Disease,"The major upregulators of liver cholesterol might be increased in AGS patients, indicating an impaired negative feedback mechanism and accelerated liver cholesterol accumulation. Alagille syndrome occurs in about one of every 30,000 live births. The disorder affects both sexes equally and shows no geographical, racial, or ethnic preferences.","Most cases of Alagille syndrome are caused by a mutation in the JAGGED1 (JAG1) gene. In less than 1 percent of cases, a mutations in the NOTCH2 gene is the cause. In spontaneous cases, neither parent carries a copy of the mutated gene.","Most cases of Alagille syndrome are caused by a mutation in the JAGGED1 (JAG1) gene. A few people have mutations in a different gene, called NOTCH2. The JAG1 and NotCH2 genes provide instructions for making proteins that fit together.","Most cases of Alagille syndrome are caused by a mutation in the JAGGED1 (JAG1) gene. A few people have mutations in a different gene, called NOTCH2. The JAG1 and NotCH2 genes provide instructions for making proteins that fit together.","Most cases of Alagille syndrome are caused by a mutation in the JAGGED1 (JAG1) gene. A few people have mutations in a different gene, called NOTCH2. The JAG1 and NotCH2 genes provide instructions for making proteins that fit together.",0.5108,escalate,0.16949152542372883,0.30357142857142855,0.24074074074074076,0.24074074074074076,0.24074074074074076,0.0,0.05454545454545454,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.11864406779661017,0.1964285714285714,0.14814814814814814,0.14814814814814814,0.14814814814814814,0,0
Do biphasic chromatin structure and FISH signals in reflect intranuclear order?,"A small number of cells (up to about 5%), more frequent in leukemia cases, showed the twin features: (1) nuclei with biphasic chromatin, one part decondensed and the other condensed; and (2) homologous FISH signals distributed equitably in those two regions. The biphasic chromatin structure with equitable distribution of the homologous FISH signals may correspond to the two sets of chromosomes, supporting observations on ploidywise intranuclear order. The decondensed chromatin may relate to enhanced transcriptions or advanced replications.",Cellular and Molecular Biology in Disease,"A small number of cells (up to about 5%), more frequent in leukemia cases, showed the twin features: (1) nuclei with biphasic chromatin, one part decondensed and the other condensed; and (2) homologous FISH signals distributed equitably in those two regions.","This is the first report of distinct nuclear substructures constraining the movements of chromatin. When DNA is tightly packed, gene expression is lower than when DNA is loosely packed. The CHD7 gene provides instructions for making a protein that regulates gene activity (expression) by a process known as chromatin remodeling.","A small number of cells (up to about 5%), more frequent in leukemia cases, showed the twin features: (1) nuclei with biphasic chromatin, one part decondensed and the other condensed; and (2) homologous FISH signals distributed equitably in those two regions.","A small number of cells (up to about 5%), more frequent in leukemia cases, showed the twin features: (1) nuclei with biphasic chromatin, one part decondensed and the other condensed; and (2) homologous FISH signals distributed equitably in those two regions.",Insufficient evidence available to answer reliably.,0.0496,insufficient,0.689075630252101,0.125,0.689075630252101,0.689075630252101,0.0,0.6837606837606837,0.0,0.6837606837606837,0.6837606837606837,0.0,0.689075630252101,0.09375000000000001,0.689075630252101,0.689075630252101,0.0,0,1
What is (are) permanent neonatal diabetes mellitus ?,"Permanent neonatal diabetes mellitus is a type of diabetes that first appears within the first 6 months of life and persists throughout the lifespan. This form of diabetes is characterized by high blood sugar levels (hyperglycemia) resulting from a shortage of the hormone insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy. Individuals with permanent neonatal diabetes mellitus experience slow growth before birth (intrauterine growth retardation). Affected infants have hyperglycemia and an excessive loss of fluids (dehydration) and are unable to gain weight and grow at the expected rate (failure to thrive). In some cases, people with permanent neonatal diabetes mellitus also have certain neurological problems, including developmental delay and recurrent seizures (epilepsy). This combination of developmental delay, epilepsy, and neonatal diabetes is called DEND syndrome. Intermediate DEND syndrome is a similar combination but with milder developmental delay and without epilepsy. A small number of individuals with permanent neonatal diabetes mellitus have an underdeveloped pancreas. Because the pancreas produces digestive enzymes as well as secreting insulin and other hormones, affected individuals experience digestive problems such as fatty stools and an inability to absorb fat-soluble vitamins.",3_GHR_QA,"PNDB is caused by mutations in any one of several genes, including the KCNJ11, ABCC8, and INS genes. It may be inherited in an autosomal recessive or autosomal dominant manner. Treatment includes rehydration, insulin therapy and/or long-term therapy with oral sulfonylureas.","Transient neonatal diabetes mellitus (TNDB) is a type of diabetes that appears within the first few weeks of life but is transient. Affected individuals have slow growth before birth followed by hyperglycemia, dehydration and failure to thrive in infancy. Approximately 70% of cases are caused by the overactivity of certain genes in a region of the long (q) arm of chromosome 6 called 6q24. Other genetic causes include mutations in the KCNJ11 and ABCC8 genes.","Permanent neonatal diabetes mellitus is a type of diabetes that first appears within the first 6 months of life and persists throughout the lifespan. PNDB is caused by mutations in any one of several genes, including the KCNJ11, ABCC8, and INS genes. Treatment includes rehydration, insulin therapy and/or long-term therapy with oral sulfonylureas.","Permanent neonatal diabetes mellitus is a type of diabetes that first appears within the first 6 months of life and persists throughout the lifespan. PNDB is caused by mutations in any one of several genes, including the KCNJ11, ABCC8, and INS genes. Treatment includes rehydration, insulin therapy and/or long-term therapy with oral sulfonylureas.","Permanent neonatal diabetes mellitus is a type of diabetes that first appears within the first 6 months of life and persists throughout the lifespan. PNDB is caused by mutations in any one of several genes, including the KCNJ11, ABCC8, and INS genes. Treatment includes rehydration, insulin therapy and/or long-term therapy with oral sulfonylureas.",0.5449,escalate,0.0912863070539419,0.3516483516483516,0.26877470355731226,0.26877470355731226,0.26877470355731226,0.0,0.14760147601476015,0.18326693227091634,0.18326693227091634,0.18326693227091634,0.07468879668049792,0.2564102564102564,0.2529644268774704,0.2529644268774704,0.2529644268774704,0,0
What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes?,"Spicy Blend 2 tablespoons dried savory, crumbled 1/4 teaspoon freshly ground white pepper 1 tablespoon dry mustard 1/4 teaspoon ground cumin 2 1/2 teaspoons onion powder 1/2 teaspoon garlic powder 1/4 teaspoon curry powder Saltless Surprise 2 teaspoons garlic powder 1 teaspoon basil 1 teaspoon oregano 1 teaspoon powdered lemon rind or dehydrated lemon juice Herb Seasoning 2 tablespoons dried dill weed or basil leaves, crumbled 1 teaspoon celery seed 2 tablespoons onion powder 1/4 teaspoon dried oregano leaves, crumbled A pinch of freshly ground pepper Spicy Seasoning 1 teaspoon cloves 1 teaspoon pepper 2 teaspoons paprika 1 teaspoon coriander seed (crushed) 1 tablespoon rosemary",Diabetes and Related Health Issues,Herbs and spices are the answer to improving the natural flavors in food without using salt. Homemade herb and spice blends can help you cut down on your salt use. These tips will help you limit salt while eating out at restaurants: Appetizers Select fresh fruit or vegetables.,"Question: What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes?Answer: Spicy Blend, Saltless Surprise, Herb Seasoning. These tips will help you limit salt while eating out at restaurants: Appetizers Select fresh fruit or vegetables.","Question: What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes? Evidence: 2 tablespoons dried savory, crumbled 1/4 teaspoon freshly ground white pepper. Spicy Seasoning 1 teaspoon cloves 1 teaspoon pepper 2 teaspoons paprika 1 teaspoon coriander seed (crushed) 1 tablespoon rosemary.","Question: What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes? Evidence: 2 tablespoons dried savory, crumbled 1/4 teaspoon freshly ground white pepper. Spicy Seasoning 1 teaspoon cloves 1 teaspoon pepper 2 teaspoons paprika 1 teaspoon coriander seed (crushed) 1 tablespoon rosemary.","Question: What are the ingredients for a spicy blend to replace salt if you have type 2 diabetes? Evidence: 2 tablespoons dried savory, crumbled 1/4 teaspoon freshly ground white pepper. Spicy Seasoning 1 teaspoon cloves 1 teaspoon pepper 2 teaspoons paprika 1 teaspoon coriander seed (crushed) 1 tablespoon rosemary.",0.5793,escalate,0.03773584905660377,0.12987012987012986,0.4347826086956521,0.4347826086956521,0.4347826086956521,0.0,0.039473684210526314,0.38993710691823896,0.38993710691823896,0.38993710691823896,0.025157232704402514,0.1038961038961039,0.4099378881987578,0.4099378881987578,0.4099378881987578,0,0
What causes high cholesterol in children?,"Cholesterol levels in children are mostly linked to three risk factors: Heredity (passed on from parent to child) Diet Obesity In most cases, kids with high cholesterol have a parent who also has elevated cholesterol.",Gastritis and Child Health Issues,"Cholesterol levels in children are mostly linked to three risk factors: Heredity (passed on from parent to child) Diet Obesity In most cases, kids with high cholesterol have a parent who also has elevated cholesterol. Stress can also raise blood cholesterol levels, especially since stress can lead to poor eating habits that may increase cholesterol intake.","High blood cholesterol does not cause symptoms, so you may not be aware that your cholesterol level is too high. Cholesterol is found in foods that come from animal sources, such as egg yolks, meat, and cheese. Limiting foods with cholesterol, saturated fat, and trans fats can help you control your cholesterol levels.","Cholesterol levels in children are mostly linked to three risk factors: Heredity (passed on from parent to child) Diet Obesity and physical activity. Cholesterol is found in foods that come from animal sources, such as egg yolks, meat, and cheese. Limiting foods with cholesterol, saturated fat, and trans fats can help you control your cholesterol levels.","Cholesterol levels in children are mostly linked to three risk factors: Heredity (passed on from parent to child) Diet Obesity and physical activity. Cholesterol is found in foods that come from animal sources, such as egg yolks, meat, and cheese. Limiting foods with cholesterol, saturated fat, and trans fats can help you control your cholesterol levels.","Cholesterol levels in children are mostly linked to three risk factors: Heredity (passed on from parent to child) Diet Obesity. Being overweight tends to raise your LDL cholesterol. Limiting foods with cholesterol, saturated fat, and trans fats can help you control your cholesterol levels.",0.2609,escalate,0.7692307692307693,0.1818181818181818,0.5274725274725274,0.5274725274725274,0.5822784810126581,0.7640449438202247,0.04651162790697675,0.42696629213483145,0.42696629213483145,0.49350649350649345,0.7692307692307693,0.1590909090909091,0.5274725274725274,0.5274725274725274,0.5822784810126581,0,0
